"Age","Edu","WorkAge","Address","DebtRatio","Default","Income.1","CreditDebt.1","OtherDebt.1"
41,3,17,"12",9.3,1,5.17614973257383,2.51446545202954,1.79342474854712
27,1,10,"6",17.3,0,3.46573590279973,0.858661619037519,1.6094379124341
40,1,15,"14",5.5,0,4.02535169073515,0.62057648772511,1.15373158788919
41,1,15,"14",2.9,0,4.79579054559674,1.29746314741327,0.598836501088704
24,2,2,"0",17.3,1,3.36729582998647,1.02604159583327,1.40118297361364
41,2,5,"5",10.2,0,3.25809653802148,0.3293037471426,1.15057202759882
39,1,20,"9",30.6,0,4.21950770517611,1.57484646766448,2.87186828633161
43,1,12,"11",3.6,0,3.66356164612965,0.122217632724249,0.806475865866949
24,1,3,"4",24.4,1,2.99573227355399,0.858661619037519,1.45395300959371
36,1,0,"13",19.7,0,3.25809653802148,1.3297240096315,1.14740245283754
27,1,0,"1",1.7,0,2.83321334405622,0.165514438477573,0.0861776962410524
25,1,4,"0",5.2,0,3.17805383034795,0.22314355131421,0.662687973075237
52,1,24,"14",10,0,4.17438726989564,1.5953389880546,1.24415459395877
37,1,6,"9",16.3,0,3.40119738166216,1.00063188030791,1.38879124131848
48,1,22,"15",9.1,0,4.61512051684126,1.54756250871601,1.85629799036563
36,2,9,"6",8.6,1,3.91202300542815,0.598836501088704,1.48160454092422
36,2,13,"6",16.4,1,3.73766961828337,1.36609165380237,1.57069708411767
43,1,23,"19",7.6,0,4.29045944114839,0.779324876800997,1.66581824587021
39,1,6,"9",5.7,0,4.12713438504509,0.444685821261446,1.36353737399727
41,3,0,"21",1.7,0,3.29583686600433,0.0953101798043249,0.29266961396282
39,1,22,"3",3.2,0,3.97029191355212,0.765467842139571,0.412109650826833
47,1,17,"21",5.6,0,3.78418963391826,0.46373401623214,1.03673688495002
28,1,3,"6",10,0,3.29583686600433,0.357674444271816,1.15373158788919
29,1,8,"6",9.8,0,3.3322045101752,0.336472236621213,1.17557332980424
21,2,1,"2",18,1,2.83321334405622,0.215111379616945,1.29198368164865
25,4,0,"2",17.6,0,3.49650756146648,1.14422279992016,1.50185270175416
45,2,9,"26",6.7,0,4.24849524204936,0.536493370514568,1.59330853050422
43,1,25,"21",16.7,0,4.17438726989564,0.667829372575655,2.37397508908072
33,2,12,"8",18.4,0,4.07753744390572,1.40609698841607,2.15059873599616
26,3,2,"1",14.2,0,3.63758615972639,0.182321556793955,1.80005827204275
45,1,3,"15",2.1,0,3.04452243772342,0.104360015324243,0.27763173659828
30,1,1,"10",10.5,0,3.13549421592915,0.76080582903376,0.774727167552368
27,3,2,"7",6,0,3.29583686600433,0.542324290825362,0.609765571620894
25,1,8,"4",14.4,0,3.3322045101752,0.703097511413113,1.35325450704169
25,1,8,"1",2.9,0,3.58351893845611,0.0769610411361284,0.662687973075237
26,2,6,"7",26,0,3.8286413964891,1.95302761682418,1.89461685466776
30,2,10,"4",16.1,0,3.13549421592915,0.879626747502564,1.14103300455206
32,2,12,"1",14.4,0,4.00733318523247,1.43508452528932,1.71918877639322
28,2,1,"8",17.1,1,3.2188758248682,0.85015092936961,1.32707500145992
45,1,23,"5",4.2,0,3.93182563272433,0.444685821261446,0.932164081030445
23,1,7,"2",6.6,0,3.46573590279973,0.29266961396282,0.99694863489161
34,1,17,"3",8,0,4.0943445622221,1.03318448334565,1.36353737399727
42,2,7,"23",4.6,0,3.73766961828337,0.662687973075237,0.662687973075237
39,1,19,"5",13.1,0,3.89182029811063,1.07500242302898,1.67896397508271
26,1,0,"0",7.5,1,2.70805020110221,0.262364264467491,0.559615787935423
21,2,0,"1",6.8,0,2.83321334405622,0.139761942375159,0.662687973075237
35,1,13,"15",4.5,0,3.58351893845611,0.357674444271816,0.76080582903376
47,1,4,"2",10.4,0,3.29583686600433,0.113328685307003,1.27536280041261
23,2,0,"2",11.4,1,3.09104245335832,0.576613364303994,0.963174317773006
35,1,18,"2",7.4,0,3.76120011569356,0.19062035960865,1.3609765531356
34,1,2,"11",12.6,1,3.25809653802148,0.451075619360217,1.27536280041261
46,1,1,"12",14,0,3.04452243772342,0.593326845277734,1.0952733874026
46,1,16,"18",12.9,1,3.97029191355212,1.39376637595859,1.54329810992956
38,3,3,"18",3.7,0,3.25809653802148,0.27002713721306,0.476234178996372
40,2,3,"2",9.5,0,3.36729582998647,0.438254930931155,1.13462272619114
37,1,1,"3",15.1,1,3.2188758248682,1.02961941718116,1.03673688495002
35,1,9,"1",5,0,3.55534806148941,0.336472236621213,0.832909122935104
39,2,16,"13",2.4,0,4.24849524204936,0.72270598280149,0.46373401623214
40,3,18,"6",2.5,0,4.61512051684126,0.912282710476616,0.703097511413113
50,3,10,"20",12.2,0,4.39444915467244,1.24703229378638,2.11384296839717
31,1,9,"10",2.4,0,3.36729582998647,0.048790164169432,0.482426149244293
29,1,13,"1",7.4,1,3.76120011569356,0.900161349944271,0.974559639998131
37,1,4,"0",12.4,0,3.17805383034795,0.625938430866495,1.09192330051731
33,2,4,"9",7,0,4.02535169073515,1.15057202759882,0.989541193613748
26,2,5,"7",7.8,0,3.36729582998647,0.703097511413113,0.770108221696074
32,2,11,"6",23.3,1,4.33073334028633,2.1701959049483,2.37211115564266
28,2,2,"3",6.4,1,3.17805383034795,0.173953307123438,0.828551817566148
39,1,19,"8",9.1,0,3.85014760171006,1.25846098961001,0.982078472412158
28,2,8,"3",8.2,1,3.46573590279973,0.912282710476616,0.717839793150317
29,1,1,"2",18.6,1,3.04452243772342,0.451075619360217,1.42310833424261
34,2,3,"8",23.1,0,3.09104245335832,0.8754687373539,1.49290409617815
28,2,5,"9",23.8,0,3.55534806148941,1.41098697371026,1.79009141212736
47,1,26,"21",12.8,0,4.61512051684126,1.71918877639322,2.2213750375685
43,4,1,"5",10.6,0,3.29583686600433,0.924258901523332,0.806475865866949
41,1,13,"10",1.7,0,3.80666248977032,0.0676586484738149,0.518793793415168
47,1,13,"25",23.8,0,3.95124371858143,1.55603713570699,2.24070968927596
24,1,2,"1",0.6,0,3.09104245335832,0.0295588022415444,0.0953101798043249
29,1,1,"9",6.7,0,2.89037175789616,0.148420005118273,0.683096844706444
33,1,14,"2",2.6,0,3.63758615972639,0.182321556793955,0.56531380905006
36,1,15,"10",3.2,0,3.68887945411394,0.524728528934982,0.444685821261446
26,1,4,"3",10.5,1,3.3322045101752,1.24415459395877,0.307484699747961
31,1,11,"12",17,0,3.8286413964891,1.31908561142644,1.77664583141801
37,1,7,"3",19.6,0,3.49650756146648,1.30833281965018,1.52169899812609
35,4,4,"16",11,0,3.40119738166216,1.04380405217311,0.854415328156068
26,1,4,"3",5.4,0,3.04452243772342,0.27763173659828,0.56531380905006
40,1,10,"15",18.8,0,3.8286413964891,1.10194007876078,2.00821403239147
29,2,5,"4",12.4,1,3.61091791264422,1.50185270175416,0.678033542749897
37,3,5,"17",24.6,0,3.40119738166216,0.879626747502564,1.90657514365664
32,1,12,"12",2.9,0,3.36729582998647,0.113328685307003,0.53062825106217
23,2,0,"1",27.7,1,2.89037175789616,1.11185751541813,1.30019166206648
32,1,3,"10",6.2,0,3.17805383034795,0.048790164169432,0.86288995514704
25,1,1,"6",11.4,1,2.77258872223978,0.314810739840034,0.85015092936961
38,1,5,"5",10.6,0,4.00733318523247,0.916290731874155,1.65249740189455
32,2,0,"6",5.8,1,2.94443897916644,0.262364264467491,0.559615787935423
41,3,2,"0",26.3,1,2.77258872223978,1.08518926833597,1.09192330051731
36,1,17,"6",4.4,0,4.00733318523247,0.548121408509688,0.974559639998131
42,3,13,"0",3.3,0,4.4188406077966,0.841567185678219,0.871293365943419
41,1,14,"8",7.3,0,3.97029191355212,0.657520002916794,1.35325450704169
29,2,4,"9",6.3,0,2.99573227355399,0.518793793415168,0.418710334858185
38,3,4,"6",9.3,1,3.46573590279973,0.845868267577609,0.936093359170335
39,1,22,"9",2.6,0,4.7361984483945,0.688134638736401,1.08180517035173
36,1,6,"9",8.3,0,3.29583686600433,0.0295588022415444,1.14103300455206
33,1,8,"7",5.8,0,3.3322045101752,0.576613364303994,0.582215619852664
42,2,21,"11",3.1,0,4.80402104473326,0.86288995514704,1.22082992139236
41,2,22,"17",23.6,0,4.33073334028633,2.3869262414278,2.1770218700187
40,1,8,"17",3.6,0,3.36729582998647,0.425267735404344,0.385262400790645
53,1,9,"18",11.2,1,3.93182563272433,1.10525683138678,1.52169899812609
28,1,4,"7",13.5,0,3.29583686600433,0.832909122935104,1.16627093714192
36,2,12,"13",7.9,0,4.11087386417331,1.00063188030791,1.39128190263093
34,2,9,"13",10.1,0,3.8286413964891,0.751416088683921,1.48839958405704
45,3,2,"5",4.9,0,3.68887945411394,0.378436435720245,0.896088024556636
38,1,6,"0",8.9,0,3.73766961828337,0.2390169004705,1.47704872438835
21,3,0,"2",7.7,0,3.2188758248682,0.60431596685333,0.698134722070984
42,1,12,"11",21.4,0,3.95124371858143,1.22671229129543,2.2512917986065
52,1,16,"25",8.6,0,4.17438726989564,1.05431202977153,1.53471436623816
25,2,4,"6",5.2,0,3.52636052461616,0.438254930931155,0.770108221696074
34,2,9,"9",6.2,0,4.18965474202643,1.13462272619114,1.07158361628019
40,2,15,"16",3.4,0,4.30406509320417,0.708035793053696,0.896088024556636
31,2,0,"4",12.8,1,3.3322045101752,0.73716406597672,1.21491274436427
25,1,1,"0",6.7,1,3.04452243772342,0.385262400790645,0.625938430866495
45,1,12,"19",9.5,0,3.63758615972639,0.85015092936961,1.15373158788919
23,1,3,"0",8.4,1,2.99573227355399,0.246860077931526,0.841567185678219
34,4,6,"3",35.3,1,3.3322045101752,1.09192330051731,2.14593128294867
31,1,2,"4",12.7,1,3.13549421592915,0.73716406597672,0.993251773010283
28,1,5,"9",2.8,0,3.13549421592915,0.131028262406404,0.392042087776024
41,1,7,"11",4.4,0,3.78418963391826,0.524728528934982,0.78845736036427
39,2,7,"2",13,1,4.23410650459726,0.703097511413113,2.1770218700187
29,2,9,"3",1.4,0,3.61091791264422,0.122217632724249,0.322083499169113
21,1,5,"1",9,0,3.25809653802148,0.314810739840034,1.05779029414785
41,2,19,"2",5.8,0,4.23410650459726,0.920282753143692,1.23547147138531
26,4,1,"7",2.9,0,3.3322045101752,0.27002713721306,0.385262400790645
33,1,5,"10",12.9,0,2.94443897916644,0.683096844706444,0.85015092936961
45,2,18,"19",17.4,0,3.58351893845611,0.438254930931155,1.87793716546911
39,1,17,"20",13.7,0,4.11087386417331,1.23837423104327,1.91250108692418
24,1,7,"2",6.3,0,3.09104245335832,0.418710334858185,0.587786664902119
29,2,6,"7",2.2,0,4.06044301054642,0.371563556432483,0.587786664902119
27,2,1,"0",12.4,0,3.17805383034795,0.254642218373581,1.27256559579155
40,1,13,"2",5.9,0,3.36729582998647,0.672944473242426,0.524728528934982
29,1,8,"10",6.7,0,3.2188758248682,0.385262400790645,0.76080582903376
29,2,4,"3",6.6,1,3.63758615972639,0.770108221696074,0.824175442966349
24,1,0,"2",16,1,2.83321334405622,0.698134722070984,0.936093359170335
27,1,9,"6",17.8,1,3.8286413964891,1.34807314829969,1.81807677754543
41,3,16,"22",4.4,0,4.91265488573605,0.824175442966349,1.73342389221509
31,1,11,"8",9.1,0,3.25809653802148,0.131028262406404,1.14103300455206
41,1,16,"17",5.4,0,4.23410650459726,0.371563556432483,1.43983512804792
42,2,5,"3",3.4,0,3.73766961828337,0.307484699747961,0.712949807856125
28,4,1,"3",12.4,0,3.29583686600433,0.322083499169113,1.34807314829969
30,4,2,"8",10,0,3.25809653802148,1.01884732019925,0.548121408509688
30,1,11,"1",8.4,0,3.52636052461616,0.518793793415168,1.12817109090965
31,1,8,"4",8,0,3.80666248977032,1.00063188030791,1.02961941718116
45,2,15,"14",18.1,0,3.95124371858143,0.936093359170335,2.16102152867226
43,1,13,"23",6.1,1,4.34380542185368,1.14740245283754,1.24703229378638
36,1,4,"10",16.3,0,3.17805383034795,0.845868267577609,1.22964055107451
28,1,8,"6",7.2,0,3.43398720448515,0.476234178996372,0.936093359170335
27,2,3,"5",13.2,0,3.52636052461616,0.966983846189673,1.31372366828506
36,3,13,"3",19.2,0,3.68887945411394,1.33500106673234,1.73871024813824
33,1,12,"11",11.3,0,3.49650756146648,1.1314021114911,0.920282753143692
54,1,9,"2",14.8,1,3.36729582998647,0.940007258491471,1.27815220250019
33,1,9,"4",13.8,1,3.40119738166216,0.854415328156068,1.2947271675944
31,1,9,"5",4.5,0,3.29583686600433,0.27002713721306,0.62057648772511
21,1,4,"0",8.9,0,3.29583686600433,0.883767540168595,0.636576829071551
28,3,5,"9",8.7,0,3.80666248977032,0.570979546585738,1.39871688111845
31,2,2,"1",6.8,1,3.29583686600433,0.246860077931526,0.912282710476616
32,1,8,"6",4.1,0,3.29583686600433,0.285178942233662,0.553885113226438
35,2,1,"8",12.5,1,3.2188758248682,0.46373401623214,1.22671229129543
40,2,13,"11",18.9,1,4.63472898822964,1.97823903617067,2.64262239577975
22,1,4,"2",15.6,1,3.2188758248682,0.970778917158225,1.13462272619114
39,1,4,"9",6.5,0,3.66356164612965,0.779324876800997,0.828551817566148
41,4,14,"3",1.7,0,3.80666248977032,0.300104592450338,0.3293037471426
34,1,16,"9",4,0,4.38202663467388,1.00430160919687,0.887891257352457
29,1,7,"9",9.7,0,3.13549421592915,0.438254930931155,0.947789398933526
31,1,4,"10",11.3,0,3.36729582998647,0.254642218373581,1.35325450704169
32,1,1,"0",4.8,1,3.04452243772342,0.27002713721306,0.500775287912489
32,1,14,"7",8.8,0,4.30406509320417,1.55814461804655,1.30019166206648
33,1,6,"14",7.5,0,3.09104245335832,0.451075619360217,0.698134722070984
26,1,6,"0",10.3,0,3.13549421592915,0.542324290825362,0.936093359170335
21,1,1,"1",17.3,0,2.94443897916644,0.148420005118273,1.37624402526639
28,2,7,"2",7,0,3.55534806148941,0.307484699747961,1.10525683138678
37,1,13,"5",8.9,0,3.2188758248682,0.470003629245736,0.928219302739429
33,2,2,"14",22.9,1,3.58351893845611,1.13783300182139,1.93007108502557
39,1,12,"10",5,0,3.85014760171006,0.444685821261446,1.00795792039998
40,2,8,"19",5.6,0,4.06044301054642,0.631271776841858,1.19694818938897
45,3,16,"21",3,0,4.39444915467244,0.647103242058539,0.912282710476616
27,1,10,"6",6.5,0,3.55534806148941,0.615185639090233,0.858661619037519
28,4,0,"7",24.2,0,3.40119738166216,0.883767540168595,1.88555334851442
39,1,13,"9",8,0,3.3322045101752,0.678033542749897,0.783901543828409
40,1,14,"21",15,1,3.78418963391826,1.33236601909433,1.53901544813755
27,1,11,"8",16.9,0,4.04305126783455,1.72988406550997,1.7630170003624
36,1,1,"4",9.3,0,2.83321334405622,0.357674444271816,0.717839793150317
55,1,19,"2",15.6,0,4.36944785246702,1.68639895357023,2.1701959049483
27,2,4,"3",13.2,1,3.13549421592915,0.73716406597672,1.03673688495002
30,1,1,"8",11,0,2.89037175789616,0.559615787935423,0.751416088683921
36,1,10,"0",11.2,1,3.36729582998647,0.598836501088704,1.1999647829284
31,1,1,"6",2.5,1,3.09104245335832,0.246860077931526,0.22314355131421
33,2,13,"2",7.2,0,3.71357206670431,0.165514438477573,1.30833281965018
30,1,4,"0",4.2,0,3.52636052461616,0.405465108108164,0.636576829071551
24,1,1,"0",5.9,1,2.94443897916644,0.215111379616945,0.598836501088704
33,4,9,"10",4.3,0,3.36729582998647,0.322083499169113,0.60431596685333
50,1,8,"27",6.9,0,3.87120101090789,0.336472236621213,1.34547236659964
31,2,6,"6",23.1,1,3.49650756146648,1.46787434811231,1.61938824328727
28,1,3,"7",4.1,0,2.99573227355399,0.231111720963387,0.418710334858185
44,3,8,"10",6.1,1,4.48863636973214,0.246860077931526,1.80500469597808
48,4,3,"23",9.8,0,3.8286413964891,0.678033542749897,1.49065437644413
36,2,0,"17",9.7,0,3.43398720448515,0.285178942233662,1.27536280041261
29,3,7,"1",5.5,0,4.15888308335967,0.451075619360217,1.35840915763035
40,3,17,"11",6,0,4.76217393479776,1.26976054486394,1.68639895357023
33,1,7,"6",6,0,3.29583686600433,0.431782416425538,0.703097511413113
26,2,6,"6",1,0,3.43398720448515,0.131028262406404,0.148420005118273
36,1,14,"11",7.2,0,4.40671924726425,1.02245092770255,1.61938824328727
26,2,6,"0",1.9,0,3.58351893845611,0.0861776962410524,0.457424847038875
40,3,16,"6",12.1,0,4.76217393479776,0.959350221334602,2.59674613154354
44,1,5,"3",9,1,3.89182029811063,1.08856195281461,1.20896034583698
29,3,1,"10",4.5,0,3.43398720448515,0.246860077931526,0.727548607277278
35,3,5,"3",5.4,1,3.63758615972639,0.457424847038875,0.883767540168595
34,1,16,"3",10.4,0,4.33073334028633,1.5993875765806,1.57897870494939
34,3,12,"8",6.7,0,3.87120101090789,0.832909122935104,1.04731899428056
46,1,14,"25",10.2,0,3.58351893845611,0.854415328156068,1.16938135955632
41,2,21,"22",12.2,0,4.98360662170834,1.44456326924387,2.73760900334375
27,2,7,"8",4,1,3.43398720448515,0.371563556432483,0.559615787935423
27,4,0,"6",8,1,4.26267987704132,0.963174317773006,1.60542989103656
28,1,11,"6",2.4,0,3.2188758248682,0.104360015324243,0.385262400790645
48,3,0,"27",10.8,0,2.99573227355399,0.615185639090233,0.78845736036427
48,3,17,"26",12,0,4.7361984483945,1.47704872438835,2.41412646772695
29,3,5,"6",19.9,1,4.26267987704132,1.43031124653666,2.46385324059017
43,2,9,"5",20.4,1,4.11087386417331,1.61740608208328,2.21920348405499
23,1,5,"2",7.9,0,2.89037175789616,0.262364264467491,0.712949807856125
29,2,10,"8",18.1,0,3.80666248977032,1.54756250871601,1.66013102674962
40,4,5,"6",1.9,0,4.33073334028633,0.631271776841858,0.431782416425538
22,2,0,"3",5.6,0,3.04452243772342,0.19062035960865,0.647103242058539
23,1,7,"3",14.4,0,3.13549421592915,0.615185639090233,1.1999647829284
46,3,9,"10",15.3,0,4.11087386417331,0.959350221334602,2.14826773260969
55,1,3,"11",8,1,3.71357206670431,0.444685821261446,1.29198368164865
